Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
doc123pp;CHIPRE BAJO LARGE;Decoracion > Canastos;;;;;;;13,590.00;;0.20;5.00;5.00;5.00;DOC123PP;DOC123PP;SI;NO;DOC123;;;;SI;;;;
doc098yu;GHANA SMALL;Decoracion > Canastos;;;;;;;6,990.00;;0.20;5.00;5.00;5.00;DOC098YU;DOC098YU;SI;NO;DOC098;;;;SI;;;;
doc105sg;GUINEA LARGE;Decoracion > Canastos;;;;;;;44,590.00;;0.20;5.00;5.00;5.00;DOC105SG;DOC105SG;SI;NO;DOC105;;;;SI;;;;
doc111sg;GABON XL;Decoracion > Canastos;;;;;;;59,490.00;;0.20;5.00;5.00;5.00;DOC111SG;DOC111SG;SI;NO;DOC111;;;;SI;;;;
adornos-by-ani-clement;ADORNOS BY ANI CLEMENT;Navidad > Adornos BY  > Ani Clement;;;;;;;90,950.00;;0.00;0.00;0.00;0.00;;;SI;NO;;;;;SI;;;;
bte096ve;MANTEL BYTOM;;;;;;;;38,490.00;;0.20;5.00;5.00;5.00;BTE096VE;BTE096VE;SI;NO;BTE096;;;;SI;;;;
bte096nt;MANTEL BYTOM;;;;;;;;38,490.00;;0.20;5.00;5.00;5.00;BTE096NT;BTE096NT;SI;NO;BTE096;;;;SI;;;;
bte096gr;MANTEL BYTOM;;;;;;;;38,490.00;;0.20;5.00;5.00;5.00;BTE096GR;BTE096GR;SI;NO;BTE096;;;;SI;;;;
bte096ce;MANTEL BYTOM;;;;;;;;38,490.00;;0.20;5.00;5.00;5.00;BTE096CE;BTE096CE;SI;NO;BTE096;;;;SI;;;;
bte076rj;PLATO DE SITIO NAVIDEÑO;Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;8,290.00;;0.20;5.00;5.00;5.00;BTE076RJ;BTE076RJ;SI;NO;BTE076;;;;SI;;;;
bcv109gb;BOWL GRAND;Bazar > Comedor > Platos y Bowls, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;1,890.00;;0.20;5.00;5.00;5.00;BCV109GB;BCV109GB;SI;NO;BCV109;;;;SI;;;;
